date,district,grade,highest_price_rs_kg,average_price_rs_kg
26.01.2016,Galle,Alba,2100.0,2050.0
26.01.2016,Ratnapura,Alba,2100.0,2035.0
26.01.2016,Ratnapura,C-5 Sp,1680.0,1660.0
26.01.2016,Badulla,C-5,1500.0,1500.0
26.01.2016,Badulla,C-5 Sp,1550.0,1550.0
26.01.2016,Ratnapura,M-5,1200.0,1150.0
26.01.2016,Ratnapura,M-4,1200.0,1150.0
26.01.2016,Ratnapura,H-1,1300.0,1283.0
26.01.2016,Ratnapura,H-2,1200.0,1183.0
26.01.2016,Ratnapura,C-4,1350.0,1316.0
26.01.2016,Ratnapura,C-5,1450.0,1433.0
26.01.2016,Badulla,C-4,1450.0,1450.0
26.01.2016,Badulla,Heen,1300.0,1025.0
26.01.2016,Badulla,Gorosu,1200.0,812.0
26.01.2016,Kurunegala,Heen,1200.0,1133.0
26.01.2016,Kalutara,M-5,1210.0,1200.0
26.01.2016,Colombo,C-5 Sp,1850.0,1850.0
26.01.2016,National,M-5,1520.0,1286.67
26.01.2016,Hambantota,H-2,1450.0,1425.0
26.01.2016,Colombo,C-4,1600.0,1600.0
26.01.2016,Colombo,H-1,1450.0,1450.0
26.01.2016,Colombo,H-2,1400.0,1400.0
26.01.2016,Gampaha,C-4,1250.0,1112.0
26.01.2016,Hambantota,C-4,1560.0,1555.0
26.01.2016,Kalutara,Alba,2000.0,2000.0
26.01.2016,Kalutara,C-5 Sp,1500.0,1500.0
26.01.2016,Kalutara,C-5,1400.0,1380.0
26.01.2016,Kalutara,C-4,1320.0,1310.0
26.01.2016,Galle,C-5 Sp,1800.0,1750.0
26.01.2016,National,Heen,1300.0,1079.0
02.02.2016,Galle,H-1,1500.0,1490.0
02.02.2016,Galle,H-2,1480.0,1470.0
02.02.2016,Matara,Alba,2150.0,2112.0
02.02.2016,Kurunegala,Gorosu,800.0,767.0
02.02.2016,Matara,C-5,1700.0,1600.0
02.02.2016,Matara,C-4,1600.0,1550.0
02.02.2016,Badulla,C-4,1450.0,1450.0
02.02.2016,Hambantota,C-5,1600.0,1600.0
02.02.2016,Matara,M-4,1520.0,1495.0
02.02.2016,Kalutara,C-5,1600.0,1550.0
02.02.2016,Matara,H-2,1460.0,1433.0
02.02.2016,Matara,H-Faq,1350.0,1300.0
02.02.2016,Hambantota,Alba,2100.0,2100.0
